ASIN,ProductName,OrderId,DigitalOrderItemId,DeclaredCountryCode,BaseCurrencyCode,FulfilledDate,IsFulfilled,Marketplace,OrderDate,OriginalQuantity,OurPrice,OurPriceCurrencyCode,OurPriceTax,OurPriceTaxCurrencyCode,SellerOfRecord,Publisher,ThirdPartyDisplayPrice,ThirdPartyDisplayCurrencyCode,ListPriceAmount,ListPriceCurrencyCode,ListPriceTaxAmount,ListPriceTaxCurrencyCode,GiftItem,OrderingCustomerNickname,GiftCustomerNickname,GiftMessage,GiftEmail,RecipientEmail,GiftRedemption,ItemMergedFromAnotherOrder,QuantityOrdered,ItemFulfilled,ShipFrom,ShipTo,IsOrderEligibleForPrimeBenefit,OfferingSKU,FulfillmentMobileNumber,RechargeAmount,RechargeAmountCurrencyCode,SubscriptionOrderInfoList,PreviouslyPaidDigitalOrderItemId,PreviouslyPaidOrderId,InstallmentOurPrice,InstallmentOurPricePlusTax,DigitalOrderItemAttributes,InstallmentOurPriceCurrencyCode,InstallmentOurPricePlusTaxCurrencyCode
B00HDP56SG,"Coupon for Buy One Starbucks Food Item Get One Free After 2:00 p.m. (BARISTA USE CODE 836)",D01-3538513-8429962,GI4RJU1SHG8D5VQEVAU31I65R79RM20MRCPCDCMVOK5K33LDM5I0,US,USD,2013-12-23T14:56:00Z,Yes,local.amazon.com,2013-12-23T14:56:00Z,Not Applicable,0.0,USD,Not Applicable,Not Applicable,"Vendor Details Not Available",Not Applicable,Not Applicable,Not Applicable,0.0,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B00AJVWUY4,"Not Applicable",D01-5471519-2042722,9EJB4R6C8DKHRJOQ4GF6BS82F28NFKFI6AGJOGS0U783O7R5IREG,US,USD,2012-12-11T03:37:00Z,Yes,local.amazon.com,2012-12-11T03:36:00Z,Not Applicable,0.0,USD,Not Applicable,Not Applicable,"Vendor Details Not Available",Not Applicable,Not Applicable,Not Applicable,0.0,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B007KCX2OC,"Not Applicable",D01-6335579-7737136,11U36DAFMHVM4V8O17CE2RCP9PELLFTJ3C02O7BMOPGKGTD0EFEG,US,USD,2012-03-20T20:07:00Z,Yes,local.amazon.com,2012-03-20T20:06:00Z,Not Applicable,5.0,USD,Not Applicable,Not Applicable,"Vendor Details Not Available",Not Applicable,Not Applicable,Not Applicable,5.0,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-1411059-4137813,RQ4I9OF9U7KJR9QT6V8KKKJG9JS9773U7FLRHAD333RLTOUDKCHG,US,USD,2025-11-03T04:39:00Z,Yes,www.amazon.com,2025-11-03T04:39:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B07S1B6SJV,"Forrest Gump",D01-0019403-9008269,ORSS9TBTLPAC5H1E8D78778OUUVANTVG3LVH0678H907CURH5V30,US,USD,2025-10-29T04:03:00Z,Yes,www.amazon.com,2025-10-29T04:03:00Z,1,3.79,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,3.79,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B07S1B6SJV,"Forrest Gump",D01-8144538-2883455,VF9M9PIFGLGKK5566NDAUPLJ5CB5RMET1D2OQKILOO3OB4GDUPNG,US,USD,2025-10-27T03:51:00Z,Yes,www.amazon.com,2025-10-27T03:50:00Z,1,3.79,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,3.79,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-5616224-4189051,DHC15P9RVK79A1MV3GTS5T27L034SEN4C7LE57ARPLD0HEA01L20,US,USD,2025-10-03T03:57:00Z,Yes,www.amazon.com,2025-10-03T03:57:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0DLTNL7GJ,"Mission: Impossible - The Final Reckoning",D01-1616967-0035415,MVB8RR59CSTH6SVALU80MGQBRP58R7SLGH1CF4I2UTHVO1VO0QC0,US,USD,2025-09-28T04:11:00Z,Yes,www.amazon.com,2025-09-28T04:11:00Z,1,6.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,6.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0094JSISE,"Cloudy with a Chance of Meatballs",D01-1263212-0096244,DPO3HE86U0IPUR57VMUBJEVGGS99JJN41MDBFHEJLCM9QPP7U2L0,US,USD,2025-09-26T02:20:00Z,Yes,www.amazon.com,2025-09-26T02:20:00Z,1,7.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,7.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-3850356-8925041,I6575EM19L549OVB0SFTBP74ATIS5MVBA0POPDPE256RCD7R0NGG,US,USD,2025-09-03T04:00:00Z,Yes,www.amazon.com,2025-09-03T04:00:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
