DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
GI4RJU1SHG8D5VQEVAU31I65R79RM20MRCPCDCMVOK5K33LDM5I0,JIPL5BKH9AJT2I3EQ8J49OC5USFFKP5AS30NN55RATSIBMH90DB0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
9EJB4R6C8DKHRJOQ4GF6BS82F28NFKFI6AGJOGS0U783O7R5IREG,HJ7700IKLCCANI834GCI7O85MVFGOHBBAFHRV49L29TH3EEDTNQ0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
11U36DAFMHVM4V8O17CE2RCP9PELLFTJ3C02O7BMOPGKGTD0EFEG,2RP8C9N86KKHA6H9NQ5U9HSVO3VMUHB7R3N6EUKCROP5V8A4KI8G,1,5.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
RQ4I9OF9U7KJR9QT6V8KKKJG9JS9773U7FLRHAD333RLTOUDKCHG,L1DK59GIGVPKLPBL0D54FKFINITPN1V293DQP8D8O540D0OGUOH0,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
RQ4I9OF9U7KJR9QT6V8KKKJG9JS9773U7FLRHAD333RLTOUDKCHG,L1DK59GIGVPKLPBL0D54FKFINITPN1V293DQP8D8O540D0OGUOH0,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
ORSS9TBTLPAC5H1E8D78778OUUVANTVG3LVH0678H907CURH5V30,9I2DQD7O5EFTFUPNCUNGIRI7Q0CJ8H24S87B7VU3J8R7EMH6PONG,1,0.39,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
ORSS9TBTLPAC5H1E8D78778OUUVANTVG3LVH0678H907CURH5V30,9I2DQD7O5EFTFUPNCUNGIRI7Q0CJ8H24S87B7VU3J8R7EMH6PONG,1,3.79,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
VF9M9PIFGLGKK5566NDAUPLJ5CB5RMET1D2OQKILOO3OB4GDUPNG,PFP4LQRBFL098K5IC702JKUVKM6AAB40Q98ORMQP49D0NKNU3PA0,1,0.39,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
VF9M9PIFGLGKK5566NDAUPLJ5CB5RMET1D2OQKILOO3OB4GDUPNG,PFP4LQRBFL098K5IC702JKUVKM6AAB40Q98ORMQP49D0NKNU3PA0,1,3.79,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
DHC15P9RVK79A1MV3GTS5T27L034SEN4C7LE57ARPLD0HEA01L20,7UGOB5VINEG3BRVPRUDSM7S4G2LV4NBGV0J8M6PGN7FD9MFNV6U0,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
DHC15P9RVK79A1MV3GTS5T27L034SEN4C7LE57ARPLD0HEA01L20,7UGOB5VINEG3BRVPRUDSM7S4G2LV4NBGV0J8M6PGN7FD9MFNV6U0,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
MVB8RR59CSTH6SVALU80MGQBRP58R7SLGH1CF4I2UTHVO1VO0QC0,AFLLGKDV3QS0VAQJTO42OGV7LHSIG2VESQMPU23VD9C5AMVUGAB0,1,6.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
MVB8RR59CSTH6SVALU80MGQBRP58R7SLGH1CF4I2UTHVO1VO0QC0,AFLLGKDV3QS0VAQJTO42OGV7LHSIG2VESQMPU23VD9C5AMVUGAB0,1,0.72,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
DPO3HE86U0IPUR57VMUBJEVGGS99JJN41MDBFHEJLCM9QPP7U2L0,L5C61CTGKNR631C6HSP95877O64BE99PENHNMAQOFG87NEJLE980,1,7.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
DPO3HE86U0IPUR57VMUBJEVGGS99JJN41MDBFHEJLCM9QPP7U2L0,L5C61CTGKNR631C6HSP95877O64BE99PENHNMAQOFG87NEJLE980,1,0.83,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
I6575EM19L549OVB0SFTBP74ATIS5MVBA0POPDPE256RCD7R0NGG,O6A1APVLGOS1PVPV8R73B8E2NJC857I5E6LDQ19IQKD350CID8MG,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
I6575EM19L549OVB0SFTBP74ATIS5MVBA0POPDPE256RCD7R0NGG,O6A1APVLGOS1PVPV8R73B8E2NJC857I5E6LDQ19IQKD350CID8MG,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
OJVLN236M62OR036GNG4LNNMB9TRFHJ3RNLNVHHMMFVEVGAMGLS0,93HTRVGCFCB1FUB5PISCAF18EFE868N805C0F99TSGD7E0G4DPUG,1,0.39,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
