"DateAddedToCart","Source","ASIN","ProductName","CartDomain","CartList","Quantity","OneClickBuyable","ToBeGiftWrapped","PrimeSubscription","Pantry","AddOn"
"2024-10-29T18:03:38.987Z","Retail","B08Q8JV6WX","Arvakr Rechargeable Silent Finger Counter 6 Channels Digital Tasbih Tally Clicker with LED for Prayer Knitting Sports Gift [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2024-09-03T20:12:26.050Z","Retail","B09QPR2LFG","Aquasphere Vista Adult Unisex Swimming Goggles, Wide Distortion Free Vision, Anti fog & Anti Scratch Lens [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2023-08-01T22:26:50.186Z","Retail","B07G21KTWX","Control Solutions, CSI - 82770001 - Spectre PS - Insecticide - 15oz [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2023-01-15T22:43:46.619Z","Retail","B09XY4CW3S","Leviton 15A SmartlockPro Self-Test GFCI Combination with Type A & Type-C USB in-Wall, USB Charger for Smartphones and Tablets, GUAC1-W [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2022-11-09T15:35:10.201Z","Retail","B0045K2U0E","Kimberly-Clark Kleenex 3-Ply Pocket Packs Facial Tissues, 8 Count [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2022-10-23T00:06:48.209Z","Retail","B076HCL2VC","Melee Mats DND Map Starter Kit - 23” x 27"" Double Sided, Wet/Dry Erase Battle Terrain Grid - Ultimate Tabletop Board Gaming Experience with Accessories [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2022-08-04T22:25:55.869Z","Retail","B001QXQ3LU","Aloe Life - Personal Gel, Intimate Moisturizer, Organic Aloe Cream, Silky & Non-Staining Formula, Perfect For Menopause, Burn Treatment, Protects & Moisturize Skin, Skincare Gel, Fragrance-Free (4 oz) [Product name associated with ASIN]","Not Applicable","saved","4","No","No","No","No","No"
"2022-02-23T21:36:14.727Z","Retail","B0126EWZM8","Redi Shade No Tools Easy Lift Trim-at-Home Cordless Cellular Blackout Fabric Shade Natural, 30"" W x 64"" L, (Fits windows 19""- 30"") [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2022-02-23T21:29:52.413Z","Retail","B008OPVD86","Redi Shade No Tools Easy Lift Select Trim-at-Home Cordless Pleated Light Filtering Fabric Shade White, 36"" W x 64"" L, (Fits windows 19 in - 36 in) [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2022-02-01T16:10:15.884Z","Retail","B081D78FTP","Krinner Christmas Tree Genie Small - Green Tree Stand - Original Single Cable Operation, Holds up to 6 ft Live Trees - Foot Pedal Setup & Water Reservoir with Level Indicator - German Made [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2022-01-12T15:50:01.226Z","Retail","B00PR2LH1C","Krinner Christmas Tree Genie Medium - Green Tree Stand - Original Single Cable Operation, Holds up to 7 ft Live Trees - Foot Pedal Setup & Water Reservoir with Level Indicator - German Made [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2021-12-19T21:19:34.395Z","Retail","B078BDMYQX","Philips Norelco Genuine OneBlade Replacement Blade Body Kit, QP610/80 [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
