"OrderId","ContractId","DateOfReturn","ReturnAmount","ReturnAmountCurrency","ReturnReason","Resolution"
"111-7160184-6597836","8f105c4b-4331-42de-bb80-5ac319218673","2025-09-26T16:23:56Z","110.34","USD","Better price available","Refund"
"111-5763268-7359464","1a33377d-7a49-4f0b-9d9f-d0d1ebe6bb29","2025-09-17T18:17:16Z","66.03","USD","Different from website description","Refund"
"111-7036928-7712233","6ecc5597-6af2-4778-9226-c6bc4298a273","2025-07-14T23:39:18Z","28.13","USD","Style not as expected","Refund"
"111-0072238-7260246","40972a28-2d95-4bc2-9212-ba3cf98bd843","2025-06-26T17:57:23Z","43.04","USD","Too small","Refund"
"111-2303924-2219437","cf39113a-d58d-4b16-8151-3ef96528d766","2025-01-23T19:12:39Z","142.35","USD","Defective/Does not work properly","Refund"
"111-8830451-0514641","a8495d98-8c1e-4ef1-95b5-f6a2ff4c56da","2025-01-08T01:03:25Z","24.27","USD","No longer needed/wanted","Refund"
"111-2924240-2422614","e29b30c6-b3e1-4a76-9cfd-cfe7ef2d3dbc","2024-12-12T05:31:32Z","20.96","USD","No longer needed/wanted","Refund"
"113-4283183-8590624","44e65982-3b3d-442f-84fa-2a8a29cadc47","2024-11-21T00:51:36Z","40.21","USD","Different from website description","Refund"
"111-3427885-7857864","1907034d-9137-44fb-b33a-c9766664f887","2024-11-10T20:15:48Z","11.02","USD","Different from what was ordered","Refund"
"113-3614670-0841813","14245ae2-d2c4-444d-a5cd-86ae4b4daf0e","2024-11-04T17:33:17Z","50.75","USD","Accidental order","Refund"
"113-4819410-1888228","0861bdd1-152c-4da1-945a-b0f4100c69ee","2024-10-28T21:00:24Z","26.47","USD","Style not as expected","Refund"
"113-1586276-3329829","4f4c33f5-c260-4488-8a6a-2733e6c05d87","2024-10-28T20:59:20Z","66.15","USD","Style not as expected","Refund"
"114-6546541-0461069","30301e02-1f53-4231-be0f-335333370305","2024-10-28T20:58:19Z","74.43","USD","No longer needed/wanted","Refund"
"114-6308112-1652249","0fc3b7aa-c5b6-4990-8117-ea351bea2aef","2024-10-28T20:55:51Z","110.29","USD","No longer needed/wanted","Refund"
"113-8973258-7193017","6f4d4f3d-0469-4500-8b59-0a6b3740521d","2024-09-17T02:15:22Z","No Refund","Not Available","Defective/Does not work properly","Exchange"
"114-1396894-0528212","f03d2696-e400-4f7d-bfa7-e7e1858834c3","2024-09-15T12:17:21Z","18.77","USD","Unknown Reason","Refund"
"113-9617991-2914611","c9727dfd-bd37-4998-9f23-10f5adcb7c3b","2024-09-15T12:17:20Z","18.77","USD","Unknown Reason","Refund"
"113-6030319-5048237","2fe7a425-486b-47b4-be6d-7ac28382be9c","2024-06-17T21:36:06Z","197.53","USD","No longer needed/wanted","Refund"
"113-7931118-2622661","c7759d37-222c-4cf7-b883-c91cc9b8c6d4","2024-05-26T23:57:11Z","No Refund","Not Available","Defective/Does not work properly","Exchange"
"113-9606063-5272214","9c925f95-cfbd-4c52-9b0e-30523a14f33d","2024-03-12T00:36:54Z","59.52","USD","Defective/Does not work properly","Refund"
"113-3227300-2117040","1f35714b-e55b-42b7-b438-09605b97b7b9","2023-12-05T20:58:30Z","33.06","USD","Too large","Refund"
"114-5506998-9081062","a4c115b4-7f13-424d-8345-b507488f53d6","2023-12-04T23:03:34Z","73.85","USD","Performance or quality not adequate","Refund"
"114-5506998-9081062","f32c7abc-84e2-47a7-ac86-d659bdee7c44","2023-12-03T02:02:17Z","No Refund","Not Available","Performance or quality not adequate","Refund"
