Return Authorization Id,Tracking Id,Return Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DW0Kpgf1RRMA,373106559,2025-09-26T16:25:33Z,111-7160184-6597836,PilotPickup,Not Available,
D8ZzlCf4RRMA,1ZC6W6319027114930,2025-09-17T18:17:48Z,111-5763268-7359464,WFMUSDropOff,BAGhL5983gM,
DBsCyGfDRRMA,1ZC6W4059002080923,2025-07-14T23:40:18Z,111-7036928-7712233,WFMUSDropOff,PBL4G5KNXxx,
Dj0WNVfwRRMA,1ZC6W4059002208778,2025-06-26T17:59:49Z,111-0072238-7260246,WFMUSDropOff,PBL4G5shlx7,
DWMGgcLMRRMA,1ZC6W6319016297219,2025-01-23T19:13:12Z,111-2303924-2219437,WFMUSDropOff,PBLqM4LxmSs,
D5YVK6L2RRMA,1ZC6W6319016297228,2025-01-08T01:04:03Z,111-8830451-0514641,WFMUSDropOff,PBLqM4LHksV,
DW8M3rLKRRMA,1ZC6W6319016297219,2024-12-12T05:32:22Z,111-2924240-2422614,WFMUSDropOff,PBLqM4HHn17,
Dt45cPLzRRMA,1Z030R539024579848,2024-11-21T00:52:31Z,113-4283183-8590624,LabelLess_UPSDropOff,Not Available,
Dq5T2jL6RRMA,1ZC6W6319012983798,2024-11-10T20:16:19Z,111-3427885-7857864,WFMUSDropOff,ARK04U3vahw,
DfwPDQL6RRMA,1ZC6W6319011777674,2024-11-04T17:34:33Z,113-3614670-0841813,WFMUSDropOff,PBLPK4sQtCt,
DrWywcLsRRMA,1ZC6W4059001719450,2024-10-28T21:00:50Z,113-4819410-1888228,WFMUSDropOff,PBLPK4tqf3S,
DqW3w3LvRRMA,1ZC6W6319011777674,2024-10-28T20:59:32Z,113-1586276-3329829,WFMUSDropOff,PBLPK42GFck,
DqWWw0LzRRMA,1ZC6W6319011777674,2024-10-28T20:58:39Z,114-6546541-0461069,WFMUSDropOff,PBLPK4st1m8,
DTW1wvLDRRMA,1ZC6W6319011777674,2024-10-28T20:56:36Z,114-6308112-1652249,WFMUSDropOff,PBLPK4BCSBR,
D5WL8tGhRRMA,1ZC6W6319010958202,2024-09-17T02:16:27Z,113-8973258-7193017,WFMUSDropOff,PBLNK4zNQs9,
Dv1PyMGCRRMA,1ZC6W6319007754536,2024-06-17T21:37:11Z,113-6030319-5048237,WFMUSDropOff,ARK04U2Dn76,
D5HqNHGGRRMA,1Z909F2Y0307857107,2024-05-26T23:58:21Z,113-7931118-2622661,PackageLess_UPSDropOff,D266F10E28CB4C85B0038F78E7E8B21E,
DWwH3fsRRRMA,1Z909F2Y0301968123,2024-03-12T00:37:52Z,113-9606063-5272214,PackageLess_UPSDropOff,30E1E52A81664D489B3C8F50BF0CEE3C,
DrDMppdMRRMA,1Z556YW89006512856,2023-12-04T23:04:31Z,114-5506998-9081062,LabelLess_UPSDropOff,Not Available,
DsSJWQdtRRMA,1Z556YW89006505800,2023-12-03T02:03:09Z,114-5506998-9081062,LabelLess_UPSDropOff,Not Available,
DsGprDdtRRMA,1Z909F2Y0321644391,2023-10-15T02:17:26Z,113-7191580-3135409,PackageLess_UPSDropOff,0CD4A182EAE54FE1AB29631B91266AC3,
DtsSrmd4RRMA,1Z909F2Y0321644391,2023-10-15T00:20:51Z,114-1572856-2591455,PackageLess_UPSDropOff,5EE29A5A6CC1491CB6EC0088BFC7C3CE,
Dps05zr4RRMA,1Z4435629009750921,2023-07-26T00:32:04Z,112-3896058-5880221,WFMUSDropOff,PBLxD3lCDCc,
DT88t6rdRRMA,1Z909F2Y0314717567,2023-06-14T19:46:11Z,112-8831750-4418656,PackageLess_UPSDropOff,F70DE565E4C248DBA70489BBF38F352B,
DZTXPKrYRRMA,1Z909F2Y0335728408,2023-06-10T21:13:31Z,114-6633580-2889063,PackageLess_UPSDropOff,0F6FF38D780A4C1D8282B1B583B4EEA3,
DjWRr1rxRRMA,1Z909F2Y0330949643,2023-05-17T20:54:29Z,114-5879989-7573066,PackageLess_UPSDropOff,9D8B1C1B7176455396F45F1B9271F4D6,
DrTmr9rnRRMA,1Z9758VA9023376956,2023-05-17T15:32:28Z,114-8646356-2681065,LabelLess_UPSDropOff,Not Available,
D49RDCrbRRMA,1Z4435629007678933,2023-04-12T22:30:44Z,111-2072597-2929014,WFMUSDropOff,PBLmM2SNp8n,
D49RDCrbRRMA,1Z4435629007678933,2023-04-12T22:30:44Z,111-2072597-2929014,WFMUSDropOff,PBLmM2jnk2g,
D49RDCrbRRMA,1Z4435629007678933,2023-04-12T22:30:44Z,111-2072597-2929014,WFMUSDropOff,PBLmM2wBz4y,
DFgThhJdRRMA,1Z4716YV9089601890,2023-03-04T20:08:01Z,111-2190064-4064256,UPSDropOff,Not Available,
Dty0Z6JFRRMA,1Z906A510323364921,2023-02-22T22:41:30Z,111-9253012-6164251,PackageLess_UPSDropOff,2C2AE827677B45B9BB1681121EB6C3A3,
DQKrpxJLRRMA,1Z9758VA9009088866,2023-01-30T16:24:51Z,111-5503661-5220243,LabelLess_UPSDropOff,Not Available,
DvKMpCJQRRMA,1Z909F2Y0325387706,2023-01-30T16:23:02Z,111-7261580-8733816,PackageLess_UPSDropOff,8493825E62734CFEA8D5A29B5BA8F101,
DvRBkWx9RRMA,1Z909F2Y0323070097,2022-03-18T23:39:09Z,112-8066021-6172221,PackageLess_UPSDropOff,Not Available,
DfRVk4x4RRMA,1Z909F2Y0323070097,2022-03-18T23:38:03Z,112-1023722-4507429,PackageLess_UPSDropOff,Not Available,
D2Ryk6xbRRMA,1Z9758R99052373403,2022-03-18T23:33:16Z,112-6741148-4342616,LabelLess_UPSDropOff,Not Available,
DF8MdpR1RRMA,1Z909F2Y0335705156,2021-12-23T01:15:26Z,112-5052866-6500269,PackageLess_UPSDropOff,Not Available,
DxZRczRjRRMA,1Z81E87A9029369406,2021-10-14T17:50:42Z,112-3238077-4781028,UPSDropOff,Not Available,
DZs87CpSRRMA,1Z909F2Y0309825067,2021-01-26T21:40:08Z,114-3158321-9053854,PackageLess_UPSDropOff,Not Available,
DfsJ72pdRRMA,1Z909F2Y0309825067,2021-01-26T21:37:30Z,111-4288965-4925845,PackageLess_UPSDropOff,Not Available,
DQCW90pRRRMA,1Z909F2Y0306353902,2020-11-09T22:36:42Z,113-0998670-3260212,PackageLess_UPSDropOff,Not Available,
DQfxp1nTRRMA,1Z53Y6V09050085325,2020-07-20T19:38:30Z,112-2027922-7259435,PackageLess_UPSDropOff,Not Available,
DYG8dQnzRRMA,1Z742YF89037955660,2020-05-24T00:52:19Z,112-6914011-6654630,UPS_DropOff,Not Available,
DxChnknPRRMA,1Z909F2Y9098198781,2020-04-02T19:02:28Z,114-8419392-5551400,PackageLess_UPSDropOff,Not Available,
D5f8w6nQRRMA,1Z93575A0364220967,2019-10-30T04:23:05Z,114-9719332-4275451,InstoreUSDropoff,PBL1L9btmC2,
DkW6gsqgRRMA,1Z53Y4E90394342854,2019-06-14T18:11:37Z,112-4543750-0438662,PackageLess_UPSDropOff,Not Available,
DTP8lmqQRRMA,DTP8lmqQRRMA,2019-02-28T20:04:52Z,112-2031310-1325019,InstoreUSDropoff,Not Available,
DFxF7kqKRRMA,1Z3764A87857978035,2018-08-08T15:51:57Z,111-2928578-2160263,UPSPickupRS1,Not Available,
DW1ffsPPRRMA,1Z3Y51802629957920,2017-08-15T04:43:44Z,111-1435210-7481012,UPSPickUp,Not Available,
D5c0WQPSRRMA,1Z9F084X2622148760,2017-01-10T04:43:06Z,002-5841452-9237853,UPSPickUp,Not Available,
Dv3000PxRRMA,1ZW993X29079324296,2016-11-05T21:32:11Z,002-2962009-4037054,UPSDropOff,Not Available,
DZlHdNPvRRMA,1ZW993X29040780624,2016-08-08T16:27:03Z,002-5452539-4503448,UPSDropOff,Not Available,
DZ49GyPJRRMA,1ZW931972630729905,2016-07-26T18:13:45Z,002-8308669-5889811,UPSPickUp,Not Available,
Dc31W3f1RRMA,1ZW993X29001358002,2016-04-23T16:37:53Z,106-5370895-6362655,UPSDropOff,Not Available,
DdLfk8fSRRMA,1ZW931972622656320,2016-03-14T02:32:13Z,108-4664810-8773859,UPSPickUp,Not Available,
D1N0rV0KRRMA,1Z755R1A9060583266,2016-02-09T05:01:26Z,107-7296104-3961850,UPSDropOff,Not Available,
DzJFD5GYRRMA,1Z755R1A2648213906,2015-10-28T21:43:08Z,108-2426794-6372203,UPSPickUp,Not Available,
DdJND5GwRRMA,1ZW992W82636088968,2015-10-28T21:41:59Z,108-1081822-5857835,UPSPickUp,Not Available,
DCtMggsyRRMA,1ZW934F62625865534,2015-10-04T15:04:46Z,108-6903996-1226609,UPSPickUp,Not Available,
