order id,replacement order id
108-6903996-1226609,No Replacement Order ID
112-3238077-4781028,No Replacement Order ID
111-5503661-5220243,No Replacement Order ID
108-1317599-3840250,No Replacement Order ID
111-7261580-8733816,No Replacement Order ID
114-3197493-3380225,No Replacement Order ID
112-3896058-5880221,No Replacement Order ID
109-9470796-4503403,No Replacement Order ID
111-2928578-2160263,No Replacement Order ID
106-5370895-6362655,No Replacement Order ID
111-2928578-2160263,No Replacement Order ID
111-5503661-5220243,No Replacement Order ID
114-5506998-9081062,No Replacement Order ID
103-7308670-4236225,No Replacement Order ID
114-5506998-9081062,No Replacement Order ID
103-7308670-4236225,No Replacement Order ID
111-9253012-6164251,No Replacement Order ID
112-8831750-4418656,No Replacement Order ID
113-0998670-3260212,No Replacement Order ID
112-8831750-4418656,No Replacement Order ID
113-0998670-3260212,No Replacement Order ID
111-2303924-2219437,No Replacement Order ID
111-2303924-2219437,No Replacement Order ID
111-2924240-2422614,No Replacement Order ID
111-4257355-3107409,No Replacement Order ID
111-2924240-2422614,No Replacement Order ID
108-5551418-3190603,No Replacement Order ID
111-8830451-0514641,No Replacement Order ID
111-9253012-6164251,No Replacement Order ID
113-8973258-7193017,113-6782639-4197034
114-3158321-9053854,No Replacement Order ID
114-1396894-0528212,No Replacement Order ID
107-7296104-3961850,No Replacement Order ID
113-8973258-7193017,113-6782639-4197034
002-8308669-5889811,No Replacement Order ID
114-8646356-2681065,No Replacement Order ID
111-3427885-7857864,No Replacement Order ID
114-5879989-7573066,No Replacement Order ID
113-4283183-8590624,No Replacement Order ID
114-1396894-0528212,No Replacement Order ID
113-4283183-8590624,No Replacement Order ID
113-9617991-2914611,No Replacement Order ID
108-4664810-8773859,No Replacement Order ID
114-9719332-4275451,No Replacement Order ID
112-6914011-6654630,No Replacement Order ID
113-9606063-5272214,No Replacement Order ID
112-6900886-3529839,No Replacement Order ID
113-7191580-3135409,No Replacement Order ID
113-6030319-5048237,No Replacement Order ID
113-7191580-3135409,No Replacement Order ID
113-6030319-5048237,No Replacement Order ID
111-2190064-4064256,No Replacement Order ID
112-1023722-4507429,No Replacement Order ID
111-2190064-4064256,No Replacement Order ID
112-1023722-4507429,No Replacement Order ID
111-2072597-2929014,No Replacement Order ID
112-8066021-6172221,No Replacement Order ID
111-2072597-2929014,No Replacement Order ID
112-1023722-4507429,No Replacement Order ID
111-2072597-2929014,No Replacement Order ID
103-5614227-2129816,No Replacement Order ID
111-2072597-2929014,No Replacement Order ID
108-2426794-6372203,No Replacement Order ID
111-2072597-2929014,No Replacement Order ID
108-1081822-5857835,No Replacement Order ID
111-8830451-0514641,No Replacement Order ID
112-4543750-0438662,No Replacement Order ID
114-6308112-1652249,No Replacement Order ID
112-6900886-3529839,No Replacement Order ID
112-2031310-1325019,No Replacement Order ID
112-3896058-5880221,No Replacement Order ID
002-2962009-4037054,No Replacement Order ID
114-3158321-9053854,No Replacement Order ID
114-6546541-0461069,No Replacement Order ID
112-4294460-8161821,No Replacement Order ID
111-2394612-2827457,No Replacement Order ID
113-4819410-1888228,No Replacement Order ID
111-2394612-2827457,No Replacement Order ID
114-6308112-1652249,No Replacement Order ID
111-2394612-2827457,No Replacement Order ID
114-6546541-0461069,No Replacement Order ID
114-9719332-4275451,No Replacement Order ID
113-3614670-0841813,No Replacement Order ID
113-9606063-5272214,No Replacement Order ID
113-4819410-1888228,No Replacement Order ID
111-4288965-4925845,No Replacement Order ID
113-3614670-0841813,No Replacement Order ID
111-4288965-4925845,No Replacement Order ID
113-1586276-3329829,No Replacement Order ID
002-5841452-9237853,No Replacement Order ID
113-1586276-3329829,No Replacement Order ID
114-6633580-2889063,No Replacement Order ID
112-4294460-8161821,No Replacement Order ID
114-1572856-2591455,113-9404028-7821863
113-3227300-2117040,No Replacement Order ID
111-7261580-8733816,No Replacement Order ID
111-2072597-2929014,No Replacement Order ID
114-5879989-7573066,No Replacement Order ID
002-5452539-4503448,No Replacement Order ID
114-8646356-2681065,No Replacement Order ID
111-2394612-2827457,No Replacement Order ID
111-1435210-7481012,No Replacement Order ID
114-1572856-2591455,113-9404028-7821863
114-6968060-7787447,No Replacement Order ID
114-8419392-5551400,113-1058724-1965856
114-6633580-2889063,No Replacement Order ID
D01-0751746-2877007,No Replacement Order ID
112-5052866-6500269,No Replacement Order ID
113-7931118-2622661,113-6972518-2323458
112-5052866-6500269,No Replacement Order ID
113-7931118-2622661,113-6972518-2323458
112-6914011-6654630,No Replacement Order ID
112-6741148-4342616,No Replacement Order ID
112-6741148-4342616,No Replacement Order ID
112-1023722-4507429,No Replacement Order ID
112-8066021-6172221,No Replacement Order ID
