Status,Date,Description,Debit,Credit
Cleared,11/22/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",26.94,
Cleared,11/22/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.95,
Cleared,11/22/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",20.57,
Cleared,11/21/2025,"NETFLIX.COM LOS GATOS CA null XXXXXXXXXXXX8399",27.58,
Cleared,11/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,11/20/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,11/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",37.30,
Cleared,11/15/2025,"ALASKA A0272123491917 SEATTLE WA",586.60,
Cleared,11/15/2025,"ALASKA A SEATTLE WA",60.00,
Cleared,11/14/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,11/13/2025,"SEATTLE PUBLIC UTILITI SEATTLE WA",365.65,
Cleared,11/12/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",3.69,
Cleared,11/12/2025,"SEATTLE CITY LIGHT SEATTLE WA",118.67,
Cleared,11/10/2025,"APPLE.COM/BILL CUPERTINO CA",9.99,
Cleared,11/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-6604.67
Cleared,11/07/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX8315",21.49,
Cleared,11/06/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,11/02/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",26.66,
Cleared,11/02/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",31.34,
Cleared,11/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",15.35,
Cleared,11/01/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",15.47,
Cleared,10/30/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,10/29/2025,"MED*LIFEWISE HEALTH PL MOUNTLAKE TER WA",34.37,
Cleared,10/29/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",23.55,
Cleared,10/21/2025,"Netflix.com Los Gatos CA null XXXXXXXXXXXX8399",27.58,
Cleared,10/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,10/16/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",23.93,
Cleared,10/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",25.50,
Cleared,10/10/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,10/09/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",0.97,
Cleared,10/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-1317.04
Cleared,10/02/2025,"GREENLAKE WELLNESS SEATTLE WA",25.00,
Cleared,10/01/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",33.08,
Cleared,09/29/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,09/29/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",8.85,
Cleared,09/25/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,09/25/2025,"APPLE.COM/BILL 866-712-7753 CA",150.72,
Cleared,09/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,09/21/2025,"NETFLIX.COM NETFLIX.COM CA null XXXXXXXXXXXX8399",27.58,
Cleared,09/18/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,09/18/2025,"AXS.COMNORTHWEST 8889297849 CA null XXXXXXXXXXXX0074",161.56,
Cleared,09/17/2025,"AFP*Northwest Family L Kirkland WA",5000.00,
Cleared,09/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",27.80,
Cleared,09/12/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,09/12/2025,"SEATTLE CITY LIGHT SEATTLE WA",97.40,
Cleared,09/11/2025,"SEATTLE PUBLIC UTILITI SEATTLE WA",304.17,
Cleared,09/10/2025,"APPLE.COM/BILL CUPERTINO CA",9.99,
Cleared,09/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-1903.60
Cleared,09/03/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,08/29/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,08/29/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",4.90,
Cleared,08/28/2025,"EXPRESS SCRIPTS PHRMC ST. LOUIS MO",3.69,
Cleared,08/28/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,08/26/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.50,
Cleared,08/26/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",3.00,
Cleared,08/25/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX8315",34.96,
Cleared,08/24/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.93,
Cleared,08/24/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.98,
Cleared,08/23/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.97,
Cleared,08/21/2025,"NETFLIX.COM NETFLIX.COM CA null XXXXXXXXXXXX8399",27.58,
Cleared,08/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,08/17/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",25.90,
Cleared,08/16/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",19.92,
Cleared,08/16/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",20.93,
Cleared,08/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",43.70,
Cleared,08/14/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,08/14/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",1.00,
Cleared,08/13/2025,"ALLSTATE *PAYMNT 800-255-7828 IL null XXXXXXXXXXXX1955",293.54,
Cleared,08/10/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,08/10/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",20.97,
Cleared,08/10/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.97,
Cleared,08/09/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",22.93,
Cleared,08/09/2025,"ALLSTATE *PAYMENT 800-255-7828 IL null XXXXXXXXXXXX0575",221.09,
Cleared,08/08/2025,"AUTOPAY 999990000032989RAUTOPAY AUTO-PMT",,-6122.37
Cleared,08/08/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,07/31/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",0.80,
Cleared,07/30/2025,"Thankyou Points Redeemed TY OR275639455",,-235.00
Cleared,07/30/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,07/29/2025,"MED*LIFEWISE HEALTH PL 800-817-3056 WA",34.37,
Cleared,07/26/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",4.00,
Cleared,07/26/2025,"SDOT PAYBYPHONE PARKIN SEATTLE WA",6.07,
Cleared,07/24/2025,"GREENLAKE WELLNESS SEATTLE WA null XXXXXXXXXXXX4730",25.00,
Cleared,07/23/2025,"APPLE.COM/US 800-676-2775 CA",10.25,
Cleared,07/23/2025,"APPLE.COM/US 800-676-2775 CA",99.00,
Cleared,07/21/2025,"Netflix.com Los Gatos CA null XXXXXXXXXXXX8399",27.58,
Cleared,07/21/2025,"EQT*AMBETTER ST. LOUIS MO",648.18,
Cleared,07/21/2025,"ALLSTATE *PAYMENT 800-255-7828 IL null XXXXXXXXXXXX0575",17.77,
Cleared,07/20/2025,"STARBUCKS 800-782-7282 800-782-7282 WA",35.00,
Cleared,07/19/2025,"AXS.COMNORTHWEST 8889297849 CA null XXXXXXXXXXXX0074",105.88,
Cleared,07/16/2025,"WSDOT-GOODTOGO ONLINE RENTON WA",35.05,
Cleared,07/15/2025,"SEATTLE CITY LIGHT SEATTLE WA",109.46,
Cleared,07/13/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX2837",24.91,
