Status,Date,Description,Debit,Credit
Cleared,12/31/2024,"OLAF'S SEATTLE WA",21.90,
Cleared,12/31/2024,"MOLLY MAGUIRES SEATTLE WA",52.00,
Cleared,12/30/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",156.46,
Cleared,12/29/2024,"NFL nfl.com/plus/ NY null XXXXXXXXXXXX5191",7.71,
Cleared,12/29/2024,"LITTLE RED HEN SEATTLE WA",21.00,
Cleared,12/29/2024,"LITTLE RED HEN SEATTLE WA",25.70,
Cleared,12/28/2024,"LITTLE RED HEN SEATTLE WA",14.00,
Cleared,12/28/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",28.52,
Cleared,12/27/2024,"SP BELLZI.COM CHINO CA null XXXXXXXXXXXX5191",24.27,
Cleared,12/27/2024,"MACYS .COM MASON OH null XXXXXXXXXXXX2795",247.18,
Cleared,12/27/2024,"LYNNWOOD BOWL & SKATE LYNNWOOD WA null XXXXXXXXXXXX5191",8.74,
Cleared,12/26/2024,"LITTLE RED HEN SEATTLE WA",14.00,
Cleared,12/25/2024,"AUTOPAY 999990000092096RAUTOPAY AUTO-PMT",,-5187.12
Cleared,12/25/2024,"ST SUBSCRIPTIONS 8886247323 WA",27.72,
Cleared,12/24/2024,"TM *HAMILTON TOURING 800-653-8000 CA null XXXXXXXXXXXX7705",1092.00,
Cleared,12/24/2024,"SPACE AGE #202 CASTLE ROCK WA",19.93,
Cleared,12/23/2024,"NYTIMES DISC* 8006984637 NY null XXXXXXXXXXXX5191",4.09,
Cleared,12/23/2024,"LOVE'S #0454 INSIDE NAPAVINE WA",6.69,
Cleared,12/23/2024,"LOVE'S #0454 OUTSIDE NAPAVINE WA",44.52,
Cleared,12/23/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",21.79,
Cleared,12/22/2024,"LITTLE RED HEN SEATTLE WA",14.00,
Cleared,12/21/2024,"SP ARCHIEMCPHEESTORE MUKILTEO WA null XXXXXXXXXXXX5191",22.66,
Cleared,12/21/2024,"SP THE SOCK MONSTER SEATTLE WA null XXXXXXXXXXXX5191",28.69,
Cleared,12/21/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",33.25,
Cleared,12/20/2024,"ALDER & ASH SEATTLE WA",170.34,
Cleared,12/18/2024,"WEST COAST DRUM SHOP BELLEVUE WA null XXXXXXXXXXXX5191",31.38,
Cleared,12/17/2024,"SHELL OIL12989474023 SEATTLE WA",61.12,
Cleared,12/16/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",279.02,
Cleared,12/15/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX9835",20.96,
Cleared,12/13/2024,"HORSESHOE BOUTIQUE SEATTLE WA null XXXXXXXXXXXX5191",102.29,
Cleared,12/13/2024,"THE HOME DEPOT #4706 SEATTLE WA null XXXXXXXXXXXX5191",145.53,
Cleared,12/12/2024,"BABELAND - EAST PIKE SEATTLE WA",80.67,
Cleared,12/12/2024,"SQ *RAVENNA BREWING CO Seattle WA null XXXXXXXXXXXX5191",24.50,
Cleared,12/12/2024,"LITTLE RED HEN SEATTLE WA",7.00,
Cleared,12/11/2024,"GADGET REHAB SEATTLE WA null XXXXXXXXXXXX5191",16.56,
Cleared,12/11/2024,"GAP US 1715 SEATTLE WA null XXXXXXXXXXXX5191",46.31,
Cleared,12/11/2024,"MADEWELL #241 SEATTLE WA null XXXXXXXXXXXX5191",106.93,
Cleared,12/11/2024,"METROPOLITAN MKT 156 SEATTLE WA null XXXXXXXXXXXX5191",13.78,
Cleared,12/11/2024,"VICTORIA'S SECRET 1325 SEATTLE WA null XXXXXXXXXXXX5191",44.17,
Cleared,12/10/2024,"Etsy.com*Trashmerch BROOKLYN NY",9.79,
Cleared,12/08/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX9835",3.30,
Cleared,12/08/2024,"HUNTER FARM I LLC UNION WA",99.30,
Cleared,12/08/2024,"SAFEWAY #0423 SEATTLE WA null XXXXXXXXXXXX5191",79.22,
Cleared,12/07/2024,"TST* THE ATLANTIC CROS SEATTLE WA null XXXXXXXXXXXX5191",16.32,
Cleared,12/07/2024,"CTLP*Vista Vending AUBURN WA null XXXXXXXXXXXX5191",1.90,
Cleared,12/07/2024,"CTLP*Vista Vending AUBURN WA null XXXXXXXXXXXX5191",2.65,
Cleared,12/06/2024,"APPLE.COM/US 800-676-2775 CA",109.25,
Cleared,12/06/2024,"SHELL OIL10006032014 SEATTLE WA",58.34,
Cleared,12/05/2024,"SQ *SEATTLE GRAND CENT Seattle WA null XXXXXXXXXXXX5191",10.66,
Cleared,12/05/2024,"MEMBERSHIP FEE DEC 24-NOV 25",0.00,
Cleared,12/04/2024,"WEST COAST DRUM SHOP BELLEVUE WA null XXXXXXXXXXXX5191",462.42,
Cleared,12/02/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",132.23,
Cleared,12/01/2024,"PAGLIACCI MAGNOLIA SEATTLE WA",54.33,
Cleared,11/30/2024,"QFC #5891 SEATTLE WA null XXXXXXXXXXXX5191",15.44,
Cleared,11/30/2024,"TST* SKAL BEER HALL SEATTLE WA",83.91,
Cleared,11/30/2024,"LARSENS BAKERY SEATTLE WA null XXXXXXXXXXXX5191",12.66,
Cleared,11/30/2024,"TST*OLD SALT 2.0 - BAL Seattle WA null XXXXXXXXXXXX5191",5.64,
Cleared,11/30/2024,"TST*OLD SALT 2.0 - BAL Seattle WA null XXXXXXXXXXXX5191",20.20,
Cleared,11/29/2024,"QFC #5891 SEATTLE WA null XXXXXXXXXXXX5191",16.48,
Cleared,11/28/2024,"HOOD CANAL MARKET FRES HOODSPORT WA null XXXXXXXXXXXX5191",6.83,
Cleared,11/28/2024,"CHEVRON 0306358 UNION WA",24.56,
Cleared,11/28/2024,"SQ *HOODSPORT COFFEE C Hoodsport WA",13.21,
Cleared,11/27/2024,"ST SUBSCRIPTIONS 8886247323 WA",15.96,
Cleared,11/27/2024,"WSFERRIES-FAUNTLEROY SEATTLE WA",22.50,
Cleared,11/27/2024,"SAFEWAY FUEL1571 BELFAIR WA",44.56,
Cleared,11/27/2024,"NORTH 40 RESTAURANT UNION WA",31.06,
Cleared,11/26/2024,"QFC #5807 SEATTLE WA null XXXXXXXXXXXX5191",29.33,
Cleared,11/26/2024,"MARKET OPTICAL- UNIVER SEATTLE WA",1524.00,
Cleared,11/25/2024,"AUTOPAY 999990000092096RAUTOPAY AUTO-PMT",,-4390.80
Cleared,11/25/2024,"NYTIMES DISC* 8006984637 NY null XXXXXXXXXXXX5191",4.09,
